NOMBRE REGIÓN  RESIDENCIA HABITUAL ACTUAL,NOMBRE COMUNA RESIDENCIA HABITUAL ACTUAL,GRUPO DE EDAD,TOTAL POBLACIÓN NACIDA FUERA DEL PAÍS
ANTOFAGASTA,TOCOPILLA,20 a 24,162
ANTOFAGASTA,TOCOPILLA,25 a 29,229
ANTOFAGASTA,TOCOPILLA,30 a 34,204
ANTOFAGASTA,TOCOPILLA,35 a 39,141
ANTOFAGASTA,TOCOPILLA,40 a 44,99
ANTOFAGASTA,TOCOPILLA,45 a 49,65
ANTOFAGASTA,TOCOPILLA,50 a 54,48
ANTOFAGASTA,TOCOPILLA,55 a 59,25
ANTOFAGASTA,TOCOPILLA,60 a 64,15
ANTOFAGASTA,TOCOPILLA,65 a 69,8
ANTOFAGASTA,TOCOPILLA,70 a 74,2
ANTOFAGASTA,TOCOPILLA,75 a 79,2
ANTOFAGASTA,TOCOPILLA,80 a 84,3
ANTOFAGASTA,TOCOPILLA,85 a 89,1
ANTOFAGASTA,TOCOPILLA,90 a 94,1
ANTOFAGASTA,TOCOPILLA,95 a 99,1
ANTOFAGASTA,TOCOPILLA,100 o más,0
ANTOFAGASTA,MARÍA ELENA,Total Comuna,353
ANTOFAGASTA,MARÍA ELENA,0 a 4,11
ANTOFAGASTA,MARÍA ELENA,5 a 9,24
ANTOFAGASTA,MARÍA ELENA,10 a 14,19
ANTOFAGASTA,MARÍA ELENA,15 a 19,23
ANTOFAGASTA,MARÍA ELENA,20 a 24,60
ANTOFAGASTA,MARÍA ELENA,25 a 29,67
ANTOFAGASTA,MARÍA ELENA,30 a 34,51
ANTOFAGASTA,MARÍA ELENA,35 a 39,34
ANTOFAGASTA,MARÍA ELENA,40 a 44,23
ANTOFAGASTA,MARÍA ELENA,45 a 49,15
ANTOFAGASTA,MARÍA ELENA,50 a 54,15
ANTOFAGASTA,MARÍA ELENA,55 a 59,6
ANTOFAGASTA,MARÍA ELENA,60 a 64,2
ANTOFAGASTA,MARÍA ELENA,65 a 69,1
ANTOFAGASTA,MARÍA ELENA,70 a 74,0
ANTOFAGASTA,MARÍA ELENA,75 a 79,1
ANTOFAGASTA,MARÍA ELENA,80 a 84,1
ANTOFAGASTA,MARÍA ELENA,85 a 89,0
ANTOFAGASTA,MARÍA ELENA,90 a 94,0
ANTOFAGASTA,MARÍA ELENA,95 a 99,0
ANTOFAGASTA,MARÍA ELENA,100 o más,0
