id,tipo,modalidad,comuna,precio,m2_utiles,ubicacion,dormitorios_estimados,personas_hogar,indice_hacinamiento,f_A,clasificacion,precio_m2
262,casa,venta,Valdivia,1500000000.0,364.0,"Rudloff, Campo Militar De Valdivia, Valdivia",18,2.9,0.16,1,Sin hacinamiento,4120879.1208791207
263,casa,venta,Valdivia,528000000.0,279.0,"Beauchef, 35, Centro De Valdivia, Valdivia",13,2.9,0.22,1,Sin hacinamiento,1892473.1182795698
264,casa,venta,Valdivia,250400000.0,136.0,"Pasaje Tres, 2025, Campo Militar De Valdivia, Valdivia",6,2.9,0.48,1,Sin hacinamiento,1841176.4705882352
265,casa,venta,Valdivia,130000000.0,104.0,"Alonso Villanueva, 3296, Sur De Valdivia, Valdivia",5,2.9,0.58,1,Sin hacinamiento,1250000.0
266,casa,venta,Valdivia,600000000.0,240.0,"Isla Teja, Isla Teja, Valdivia",12,2.9,0.24,1,Sin hacinamiento,2500000.0
267,casa,venta,Valdivia,586000000.0,355.0,"LOS MANZANOS / ISLA TEJA, Isla Teja, Valdivia",17,2.9,0.17,1,Sin hacinamiento,1650704.2253521127
268,casa,venta,Valdivia,135000000.0,81.0,"C. Cuncumen, Valdivia, Valdivia",4,2.9,0.72,1,Sin hacinamiento,1666666.6666666667
269,casa,venta,Valdivia,480000000.0,284.0,"Santa Rita Lote 3, Las Animas, Valdivia",14,2.9,0.21,1,Sin hacinamiento,1690140.8450704226
270,casa,venta,Valdivia,130000000.0,56.0,"Fuerte San Rosendo 1515, Valdivia, Chile, Las Animas, Valdivia",2,2.9,1.45,1,Sin hacinamiento,2321428.5714285714
271,casa,venta,Valdivia,448000000.0,200.0,"Isla Teja, Isla Teja, Valdivia",10,2.9,0.29,1,Sin hacinamiento,2240000.0
272,casa,venta,Valdivia,135600000.0,76.0,"Eugenio Matte 70, Valdivia, Sur De Valdivia, Valdivia",3,2.9,0.97,1,Sin hacinamiento,1784210.5263157894
273,casa,venta,Valdivia,1115360000.0,736.0,Valdivia,36,2.9,0.08,1,Sin hacinamiento,1515434.7826086956
274,casa,venta,Valdivia,510000000.0,250.0,"Valdivia, Campo Militar De Valdivia",12,2.9,0.24,1,Sin hacinamiento,2040000.0
275,casa,venta,Valdivia,381200000.0,133.0,"Calle Nueva 240, Los Encinos Valdivia., Sur De Valdivia, Valdivia",6,2.9,0.48,1,Sin hacinamiento,2866165.4135338347
276,casa,venta,Valdivia,341200000.0,125.0,"Silos De Torobayo 1759, Valdivia, Los Ríos, Chile, Torobayo, Valdivia",6,2.9,0.48,1,Sin hacinamiento,2729600.0
277,casa,venta,Valdivia,359600000.0,137.0,"Isla Teja, Valdivia",6,2.9,0.48,1,Sin hacinamiento,2624817.5182481753
278,casa,venta,Valdivia,380000000.0,160.0,"Los Silos 120, 5112130 Valdivia, Los Ríos, Chile, Torobayo, Valdivia",8,2.9,0.36,1,Sin hacinamiento,2375000.0
279,casa,venta,Valdivia,364000000.0,133.0,"Las Araucarias 355, 5110145 Valdivia, Los Ríos, Chile, Isla Teja, Valdivia",6,2.9,0.48,1,Sin hacinamiento,2736842.1052631577
280,casa,venta,Valdivia,196000000.0,52.0,"Intendente Luis Damann Asenjo 1034, Valdivia, Sur De Valdivia, Valdivia",2,2.9,1.45,1,Sin hacinamiento,3769230.769230769
281,casa,venta,Valdivia,195000000.0,83.0,"C. Gregorio Henríquez Y Santillán, Valdivia, Sur De Valdivia, Valdivia",4,2.9,0.72,1,Sin hacinamiento,2349397.5903614457
282,casa,venta,Valdivia,320000000.0,130.0,"Isla Teja, Valdivia",6,2.9,0.48,1,Sin hacinamiento,2461538.4615384615
283,casa,venta,Valdivia,350000000.0,5.0,"Parcela 1, Quitacalzon, Valdivia, Los Ríos, Chile, Valdivia",1,2.9,2.9,2,Hacinamiento medio,70000000.0
284,casa,venta,Valdivia,446000000.0,190.0,Valdivia,9,2.9,0.32,1,Sin hacinamiento,2347368.4210526315
285,casa,venta,Valdivia,251000000.0,93.0,"Valdivia, Sur De Valdivia",4,2.9,0.72,1,Sin hacinamiento,2698924.7311827955
286,casa,venta,Valdivia,720000000.0,360.0,"Pintor Pablo Burchard 171, Valdivia, Isla Teja, Valdivia",18,2.9,0.16,1,Sin hacinamiento,2000000.0
287,casa,venta,Valdivia,384000000.0,278.0,"Altos De Quitacalzón, Valdivia",13,2.9,0.22,1,Sin hacinamiento,1381294.964028777
288,casa,venta,Valdivia,120000000.0,120.0,"CASA EN PLAYA GRANDE DE NIEBLA, CON INSUPERABLE VISTA AL MAR, Niebla, Valdivia",6,2.9,0.48,1,Sin hacinamiento,1000000.0
289,casa,venta,Valdivia,586000000.0,335.0,"Isla Teja, Valdivia",16,2.9,0.18,1,Sin hacinamiento,1749253.7313432836
