y1,y11,y20amonto,y29_2b,sexo,region,esc,estrato,oficio1
500000.0,,,,1,14,12.0,1410414,9.0
,,21243.0,,2,14,,1410414,
,,21243.0,,1,14,,1410414,
,,,214296.0,2,14,4.0,1410414,
350000.0,,,,2,14,12.0,1410414,9.0
,,,,2,14,0.0,1410414,
,,,214296.0,1,14,4.0,1410414,
500000.0,,,,2,14,2.0,1410414,9.0
,,,,2,14,15.0,1410424,3.0
,,,,1,14,17.0,1410424,7.0
600000.0,,,,1,14,12.0,1410424,8.0
,,,380000.0,1,14,8.0,1410424,
,,,,2,14,6.0,1410424,
,,,,2,14,15.0,1410424,
300000.0,,,,2,14,13.0,1410424,3.0
,,,,1,14,17.0,1410424,1.0
,,,,1,14,9.0,1410424,
800000.0,,,,1,14,15.0,1410424,7.0
,,,,2,14,,1410424,
,,,,1,14,6.0,1410424,9.0
,,,,1,14,12.0,1410424,8.0
586000.0,,,,2,14,15.0,1410424,3.0
550000.0,,,,1,14,12.0,1410424,8.0
,,,,1,14,,1410424,
,,,,1,14,15.0,1410424,5.0
,,,244000.0,1,14,5.0,1410424,
,,,,2,14,10.0,1410424,
,,,,2,14,12.0,1410424,
600000.0,,,,1,14,12.0,1410424,3.0
,,,,2,14,12.0,1410424,
,,,,2,14,,1410424,
,,,,2,14,,1410424,
,,,600000.0,1,14,15.0,1410127,
